id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1800969,PRINCESS,0.51,SI1,I,EX,EX,VG,N,1542.95,4.3,4.27,3.1,0,0,0,0,0,0,1,0,6.0,6.0,0.0,0.0,1.0,0.0
1783143,PRINCESS,0.5,SI1,H,VG,EX,VG,N,1543.82,4.46,4.35,3.17,0,0,0,0,0,0,1,0,6.0,5.0,1.0,0.0,1.0,0.0
1636519,PRINCESS,0.5,VS1,H,EX,EX,GD,N,1545.9,4.42,4.35,3.07,0,0,0,0,0,0,1,0,4.0,5.0,0.0,0.0,2.0,0.0
1785661,PRINCESS,0.51,VVS2,J,EX,EX,VG,N,1547.25,4.33,4.24,3.08,0,0,0,0,0,0,1,0,3.0,7.0,0.0,0.0,1.0,0.0
1794893,PRINCESS,0.5,SI2,F,VG,EX,VG,N,1548.04,4.29,4.21,3.04,0,0,0,0,0,0,1,0,7.0,3.0,1.0,0.0,1.0,0.0
1798877,PRINCESS,0.5,SI1,H,EX,EX,GD,N,1548.04,4.57,4.5,3.12,0,0,0,0,0,0,1,0,6.0,5.0,0.0,0.0,2.0,0.0
1785713,PRINCESS,0.53,SI1,I,EX,EX,EX,N,1548.18,4.5,4.45,3.23,0,0,0,0,0,0,1,0,6.0,6.0,0.0,0.0,0.0,0.0
1793420,PRINCESS,0.5,SI2,E,EX,VG,VG,N,1548.92,4.47,4.39,3.19,0,0,0,0,0,0,1,0,7.0,2.0,0.0,1.0,1.0,0.0
1796211,PRINCESS,0.53,SI1,H,EX,VG,GD,N,1549.88,4.34,4.34,3.08,0,0,0,0,0,0,1,0,6.0,5.0,0.0,1.0,2.0,0.0
1777721,PRINCESS,0.51,SI1,G,EX,EX,VG,N,1551.61,4.56,4.47,3.04,0,0,0,0,0,0,1,0,6.0,4.0,0.0,0.0,1.0,0.0
1789287,PRINCESS,0.5,SI1,E,EX,EX,GD,N,1552.3,4.16,4.16,3.07,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,2.0,0.0
1791303,PRINCESS,0.5,SI1,E,EX,EX,GD,N,1552.3,4.45,4.39,3.11,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,2.0,0.0
1756701,PRINCESS,0.53,SI2,F,EX,EX,VG,N,1552.57,4.45,4.4,3.17,0,0,0,0,0,0,1,0,7.0,3.0,0.0,0.0,1.0,0.0
1760796,PRINCESS,0.51,VS1,E,EX,VG,VG,N,1925.69,4.33,4.27,3.1,0,0,0,0,0,0,1,0,4.0,2.0,0.0,1.0,1.0,0.0
1634758,PRINCESS,0.7,VS1,K,EX,EX,VG,N,1928.94,4.9,4.82,3.52,0,0,0,0,0,0,1,0,4.0,8.0,0.0,0.0,1.0,0.0
1783117,PRINCESS,0.56,VS1,H,EX,VG,VG,F,1929.08,4.67,4.61,3.18,0,0,0,0,0,0,1,0,4.0,5.0,0.0,1.0,1.0,3.0
1750515,PRINCESS,0.7,SI2,G,VG,VG,VG,N,1929.3,4.75,4.67,3.46,0,0,0,0,0,0,1,0,7.0,4.0,1.0,1.0,1.0,0.0
1651805,PRINCESS,0.71,SI2,J,EX,EX,VG,N,1929.39,5.09,4.95,3.45,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,1.0,0.0
1794847,PRINCESS,0.5,VS1,D,EX,EX,VG,M,1930.93,4.35,4.29,3.11,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,4.0
1789269,PRINCESS,0.51,VVS2,E,EX,EX,GD,N,1930.98,4.34,4.29,3.11,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,2.0,0.0
1798863,PRINCESS,0.51,VS1,E,EX,VG,GD,N,1931.69,4.33,4.28,3.04,0,0,0,0,0,0,1,0,4.0,2.0,0.0,1.0,2.0,0.0
1796187,PRINCESS,0.65,VVS2,J,VG,EX,GD,N,1931.92,4.62,4.61,3.43,0,0,0,0,0,0,1,0,3.0,7.0,1.0,0.0,2.0,0.0
1649286,PRINCESS,0.8,SI2,J,EX,EX,GD,N,1932.33,5.04,5.03,3.66,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,2.0,0.0
1660632,PRINCESS,0.52,VVS2,G,EX,EX,EX,N,1932.68,4.54,4.45,3.16,0,0,0,0,0,0,1,0,3.0,4.0,0.0,0.0,0.0,0.0
1783130,PRINCESS,0.53,VS2,F,EX,EX,VG,N,1934.17,4.41,4.34,3.15,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,1.0,0.0
1796194,PRINCESS,0.51,VS2,E,EX,EX,VG,N,1935.12,4.39,4.38,3.16,0,0,0,0,0,0,1,0,5.0,2.0,0.0,0.0,1.0,0.0
1797542,PRINCESS,0.6,VS1,I,EX,VG,VG,F,1935.25,4.7,4.64,3.3,0,0,0,0,0,0,1,0,4.0,6.0,0.0,1.0,1.0,3.0
1800308,PRINCESS,0.51,VVS2,E,EX,EX,VG,N,1936.06,4.29,4.21,3.05,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,1.0,0.0
1800960,PRINCESS,0.5,VS1,F,EX,EX,VG,N,1939.31,4.3,4.25,3.09,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1785663,PRINCESS,0.5,VS1,E,EX,EX,VG,N,1939.41,4.44,4.38,3.16,0,0,0,0,0,0,1,0,4.0,2.0,0.0,0.0,1.0,0.0
1791299,PRINCESS,0.5,VS2,D,EX,EX,VG,N,1939.41,4.43,4.4,3.05,0,0,0,0,0,0,1,0,5.0,1.0,0.0,0.0,1.0,0.0
1607306,PRINCESS,0.65,VS1,I,EX,EX,VG,N,1939.42,4.74,4.65,3.37,0,0,0,0,0,0,1,0,4.0,6.0,0.0,0.0,1.0,0.0
1672025,PRINCESS,0.52,VVS1,G,EX,EX,VG,F,1940.92,4.35,4.32,3.14,0,0,0,0,0,0,1,0,2.0,4.0,0.0,0.0,1.0,3.0
